,artist,name,popularity,genre,lyrics
79,Gramatik,Hit That Jive,0,edm,hit that jive jack put it in your pocket till i get back going downtown to see a man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back time and time waits for no man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back going downtown to see a man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back time and time waits for no man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back going downtown to see a man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back time and time waits for no man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back going downtown to see a man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back time and time waits for no man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back going downtown to see a man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back time and time waits for no man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back going downtown to see a man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back time and time waits for no man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back going downtown to see a man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back time and time waits for no man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back going downtown to see a man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back time and time waits for no man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back going downtown to see a man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back time and time waits for no man and i aint got time to shake your hand hit that jive jack put it in your pocket till i get back going downtown to see a man and i aint got time to shake your hand
85,Blasterjaxx,Faith - Radio Edit,0,edm,as we get up the sun goes down and the moon is the space in the cloud a golden gate the door to lalalalalalaland and as we fall into the sky well be never afraid of the height a night of faith the door to lalalalalalaland hands up for a filthy drop as we get up the sun goes down and the moon is the space in the cloud a golden gate the door to lalalalalalaland and as we fall into the sky well be never afraid of the height a night of faith the door to lalalalalalaland hands up for a filthy drop
87,Armin van Buuren,Save My Night - BlasterJaxx Remix,0,edm,The music save my soul The beat save my life Tonight the DJ save my night Save my night Save my night The music save my soul The beat save my life Tonight the DJ save my night Save my night Save my night
88,Seven Lions,Where I Won't Be Found,0,edm,take a breath i can feel it now raise my head im not looking down everything is shining out in the woods where i wont be found take a breath i can feel it now raise my head im not looking down everything is shining out in the woods where i wont be foundx8 in the woods where i wont be found i feel the sun i feel the sound but im walking on the wirex2 and i can fly and i can run but im walking on the wirex2 i feel the sun i feel the sound but im walking on the wirex2 and i can fly and i can run but im walking on the wirex2 walking on the wirex8 in the woods where i wont be found in the woods where i wont be found i feel the sun i feel the sound but im walking on the wire and i can fly and i can run but im walking on the wirex2 walking on the wire i feel the sun i feel the soundx5
113,P!nk,Beautiful Trauma - MOTi Remix,0,edm,we were on fire i slashed your tires its like we burn so bright we burn out i made you chase me i wasnt that friendly my love my drug were fucked up oh cause ive been on the run so long they cant find me youre waking up to remember im pretty and when the chemicals leave my body yeah theyre gonna find me in a hotel lobby cause mmm tough times they keep comin all night laughin and fuckin some days like im barely breathinafter we were high and the love dope died it was you the pill i keep takin the nightmare i wake in theres nothin no nothin nothin but you my perfect rock bottom my beautiful trauma my love my love my drug oh my love my love my love my drug oh my love my love my love my drug oh my love my love my love my drug oh my love oh my love my drug were fucked up you punched a hole in the wall and i framed it i wish i could feel things like you everyones chasing that holy feeling and if we dont stay lit well blow out blow out cause weve been on the run so long they cant find us whos gonna have to die to remind us that it feels like we chose this blindly now im gonna fuck up a hotel lobby cause these tough times they keep comin last night i might have messed it up again some days like im barely breathin but after we were high and the love dope died it was you the pill i keep takin the nightmare i wake in theres nothin no nothin nothin but you my perfect rock bottom my beautiful trauma my love my love my drug oh my love my love my love my drug oh my love my love my love my drug oh my love my love my love my drug oh my drug my love my love my drug were fucked up mmm tough times they keep comin all night laughin and fuckin some days like im barely breathin after we were high and the love dope died it was you the pill i keep takin the nightmare i wake in theres nothin no nothin nothin but you my perfect rock bottom my beautiful trauma my love my love my drug oh drug
117,Don Diablo,Congratulations - Don Diablo VIP Mix,0,edm,dreaming dreaming about the days that we could yeah take me take me back to music in my room yeah prechorus all my life ive been searching looking for something perfect that only led me back to blue might be a little broken but ive got my eyes wide open im gonna say it till its true lately ive been stable i dont need no label fuck congratulations no more expectations dont care about my fomo ive been riding solo so congratulations so congratulations daily daily ive been reaching for the stars uh made it made it but i almost got so far uh prechorus all my life ive been searching looking for something perfect that only led me back to blue might be a little broken but ive got my eyes wide open im gonna say it till its true lately ive been stable i dont need no label fuck congratulations no more expectations dont care about my fomo ive been riding solo so congratulations so congratulations ooh ooh ooh cant do this over again and over again and over again i know its hard to admit its hard to admit its hard to admit its half quarter past ten i wanna give in i wanna give in cant do this over again and over again lately ive been stable i dont need no label fuck congratulations no more expectations dont care about my fomo ive been riding solo so congratulations so congratulations lately ive been stable i dont need no label fuck congratulations no more expectations dont care about my fomo ive been riding solo so congratulations so congratulations
121,Capital Kings,Northern Sky (feat. Kb),0,edm,im following the only light in the northern sky give all that i got just to be alive if you feel the same put em up real high the party dont stop we celebratin this life cause one day the city will turn into dust so until that day comes ill be lifting you up youre the only light that wont ever die all the way up way up in the northern sky yeah the boy devoted the coldest and you know it been at it for a while so dont ask me where im goin im the type thats just gon show it out here in the moment so if you down with that pack your bags lets keep it coastin im just livin life to the fullest not many can say that they do this traveled round the world and back yeah thats a fact dont believe me you snoozin set free yeah im gone so i guess this is goodbye only one place that im headed straight up through the northern sky way up in the northern sky im following the only light in the northern sky give all that i got just to be alive if you feel the same put em up real high the party dont stop we celebratin this life cuz one day the city will turn into dust so until that day comes ill be lifting you up youre the only light that wont ever die all the way up way up in the northern sky oh its obvious that im confident raybans and my moccasins mockin my prerogatives and imma still roll out no marketing pull up in the mazda 6 tell em im parkin here pardon the art know its hard to chill now im turnin the whole park into parkinsons cause its shakin aight you aint gotta ok it you aint really gotta go say it you aint really gotta go crazy you crazy we all over the country country thats so paisley imago dei this place ok ok boy let me stop playin everybody better run it right now run it right now cause hes comin back now if you runnin yo mouth better ándale come to face god cause he runnin this house so devout boy you know gon shout not doubt we are proud and never back down lay it down to the cross get a crown from the lost to the found get lost in the northern sky one life so we live it up
123,Proleter,April Showers,0,edm,march winds and april showers make way for sweet may flowers and then comes june a moon and you march winds and april showers romance will soon be ours an outdoor paradise for two march winds and april showers make way for sweet may flowers and then comes june a moon and you march winds and april showers make way for happy colors and then may time june time love time and you march winds and april showers make way for sweet may flowers and then comes june a moon and you march winds and april showers romance will soon be ours an outdoor paradise for two
128,Duke Dumont,Ocean Drive - Michael Calfan Remix,0,edm,were riding down the boulevard were riding through the dark night night with half the tank and empty heart pretending were in love but its never enough nah as the sirens fill the lonely air oh how did we get here now now now babe we see a storm is closing in pretending we aint scared dont say a word while we dance with the devil uh you brought a fire to a world so cold uh were out of time on the highway to never hold on hold on hold on hold on dont say a word while we dance with the devil uh you brought a fire to a world so cold uh were out of time on the highway to never hold on hold on hold on hold on were running all the red lights down no way that we can stop nah nah a quarter tank and almost gone pretending were in love but its never enough nah i wish we could take it back in time before we crossed the line now now now babe we see a storm is closing in oh oh oh i reach out for your hand dont say a word while we dance with the devil uh you brought a fire to a world so cold uh were out of time on the highway to never hold on hold on hold on hold on hold on dont say a word while we dance with the devil ooh yeah you brought a fire to a world so cold ooh ooh were out of time on the highway to never ah yeah hold on hold on hold on hold on hold on ooh hold on oh yeah oh hold on dont say a word while we dance with the devil uh you brought a fire to a world so cold oh uh were out of time on the highway to never hold on hold on hold on hold on hold on dont say a word while we dance with the devil uh you brought a fire to a world so cold uh were out of time on the highway to never hold on hold on hold on hold on ooh yeah
129,League of Legends,Legends Never Die (feat. Against the Current),0,edm,legends never die when the world is callin you can you hear them screaming out your name legends never die they become a part of you every time you bleed for reaching greatness relentless you survive they never lose hope when everythings cold and the fightings near its deep in their bones theyll run into smoke when the fire is fierce oh pick yourself up cause legends never die when the world is calling you can you hear them screamin out your name legends never die they become a part of you every time you bleed for reaching greatness legends never die theyre written down in eternity but youll never see the price it costs – the scars collected all their lives when everythings lost they pick up their hearts and avenge defeat before it all starts they suffer through harm just to touch a dream oh pick yourself up cause legends never die when the world is calling you can you hear them screamin out your name legends never die they become a part of you every time you bleed for reaching greatness legends never die when the world is callin out your name begging you to fight pick yourself up once more pick yourself up cause legends never die when the world is calling you can you hear them screamin out your name legends never die they become a part of you every time you bleed for reaching greatness legends never die
132,Leonell Cassio,Lying We're Fine,0,edm,im seeing shimmers in this longlasting dream a madeup image bringing back memories yes i been wasting like most of my life watching paintings dry i wanna take back the hours we lost singing lullabies lullabies no no ones tough when faced with time we waste our lives lying were fine we step on knives to pass the time we waste our lives lying were fine lying were fine lying were fine a shutter filter for us memories were stuck in thrillers wishing for remedies no no ones tough when faced with time we waste our lives lying were fine we step on knives to pass the time we waste our lives lying were fine lying were fine lying were fine lying were fine lying were fine
140,Bantu,Roll With Me (feat. Shungudzo) - Friend Within Remix,0,edm,i dont see no competition you didnt win the lottery so you better ask permission if you wanna roll with me see you whistle out the window boy i aint your property go go go switch up your lingo if you wanna roll with me roll you know i wanna roll you know i wanna roll switch up your lingo roll you know i gotta roll you know i gotta roll if you wanna roll with me roll you know i wanna roll you know i wanna roll switch up your lingo roll you know i gotta roll you know i gotta roll if you wanna roll with me roll with me dont fade on me love go with me dont wait on me now oh baby dont play with me now slow down let me talk to you roll down to the rendezvous oh baby dont play with me now if you wanna roll with me you wanna show just sign me up just sign me up tryna love ya gonna make me broke i know you want a fast car dont buckle up girl buckle up you a boss huh ima let you take control if you wanna roll with me i dont see no competition you didnt win the lottery so you better ask permission if you wanna roll with me see you whistle out the window boy i aint your property go go go switch up your lingo if you wanna roll with me roll you know i wanna roll you know i wanna roll switch up your lingo roll you know i gotta roll you know i gotta roll if you wanna roll with me roll you know i wanna roll you know i wanna roll switch up your lingo roll you know i gotta roll you know i gotta roll if you wanna roll with me roll with me dont fade on me love go with me dont wait on me now oh baby dont play with me now slow down let me talk to you roll down to the rendezvous oh baby dont play with me now if you wanna roll with me you wanna show just sign me up just sign me up tryna love ya gonna make me broke i know you want a fast car dont buckle up girl buckle up you a boss huh ima let you take control if you wanna roll with me i dont see no competition you didnt win the lottery so you better ask permission if you wanna roll with me see you whistle out the window boy i aint your property go go go switch up your lingo if you wanna roll with me roll you know i wanna roll you know i wanna roll switch up your lingo roll you know i gotta roll you know i gotta roll if you wanna roll with me roll you know i wanna roll you know i wanna roll switch up your lingo roll you know i gotta roll you know i gotta roll if you wanna roll with me
144,Ellie Goulding,Goodness Gracious - The Chainsmokers Extended Remix,0,edm,i lost a signal and put you away swore upon my sun id save you for a rainy day loosen the noose then let go of the rope i know if its never coming back it has to go i keep calling your name i keep calling your name i wanna hold you close but i never wanna feel ashamed so i keep calling at night keep calling at night i wanna hold you close i just never wanna hold you tight goodness gracious i cant seem to stop calling it off calling it off just to keep crawling to your arms goodness gracious i cant seem to stop calling it off calling it off just to keep crawling to your arms i found the weakness and put it to play swore upon the stars id keep you till the night is day shake my head dizzy so ill never know you said if youre never coming back you have to go i keep calling your name i keep calling your name i wanna hold you close but i never wanna feel ashamed so i keep calling at night keep calling at night i wanna hold you close i just never wanna hold you tight goodness gracious i cant seem to stop calling it off calling it off just to keep crawling to your arms goodness gracious i cant seem to stop calling it off calling it off just to keep crawling to your arms calling you up just to keep crawling to your arms oh my goodness here i go again pulling you back to me pulling you back into my arms so selfishly i dont think i understand cause i dont really know myself i keep calling you up calling you up calling you up calling you up calling you up goodness gracious i cant seem to stop calling it off calling it off just to keep crawling to your arms goodness gracious i cant seem to stop calling it off calling it off just to keep crawling to your arms
146,Tritonal,Untouchable,0,edm,weve been wondering in the dark a million miles apart going nowhere believe that even if were lost you know it wont be long til we get there spinning round no control burning down letting go weve been wondering in the dark but no matter where we are just remember we rise and we fall well stay well stay untouchable yeah after it all well stay well stay untouchable time is slipping through our hands were sinking in the sands of forever light surrender to the dark but we can make a spark here together hanging on by a thread we will climb back again time is slipping through our hands its hard to understand but remember we rise and we fall well stay well stay untouchable yeah after it all well stay well stay untouchable we rise and we fall well stay well stay untouchable yeah after it all well stay well stay untouchable well stay well stay untouchable well stay well stay untouchable well stay well stay untouchable
167,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0,edm,na youre the light youre the night youre the colour of my blood youre the cure youre the pain youre the only thing i wanna touch never knew that it could mean so much so much youre the fear i dont care cause ive never been so high follow me through the dark let me take you past the satellites you can see the world you brought to life to life so love me like you do lalalove me like you do love me like you do lalalove me like you do touch me like you do tatatouch me like you do what are you waiting for fading in fading out on the edge of paradise every inch of your skin is a holy grail ive got to find only you can set my heart on fire on fire yeah ill let you set the pace cause im not thinking straight my heads spinning around i cant see clear no more what are you waiting for love me like you do lalalove me like you do love me like you do lalalove me like you do touch me like you do tatatouch me like you do what are you waiting for love me like you do lalalove me like you do love me like you do lalalove me like you do touch me like you do tatatouch me like you do what are you waiting for ill let you set the pace cause im not thinking straight my heads spinning around i cant see clear no more what are you waiting for love me like you do lalalove me like you do love me like you do lalalove me like you do touch me like you do tatatouch me like you do what are you waiting for love me like you do lalalove me like you do love me like you do lalalove me like you do touch me like you do tatatouch me like you do what are you waiting for
175,David Guetta,Bad (feat. Vassy) - Radio Edit,0,edm,i say why does it feel so good so good to be bad getting what i want boy why does that make you so mad you see why does it feel so good so good to be bad cause if its trouble that youre looking for oh baby here i am oh baby here i am so why does it feel so good so good to be bad bad i say why does it feel so good so good to be bad getting what i want boy why does that make you so mad you see why does it feel so good so good to be bad cause if its trouble that youre looking for oh baby here i am oh baby here i am so why does it feel so good so good to be bad
186,gnash,"i hate u, i love u (feat. olivia o'brien) - Deepend Remix",0,edm,feeling used but im still missing you and i cant see the end of this just wanna feel your kiss against my lips and now all this time is passing by but i still cant seem to tell you why it hurts me every time i see you realize how much i need you i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her i miss you when i cant sleep or right after coffee or right when i cant eat i miss you in my front seat still got sand in my sweaters from nights we dont remember do you miss me like i miss you fucked around and got attached to you friends can break your heart too and im always tired but never of you if i pulled a you on you you wouldnt like that shit i put this reel out but you wouldnt bite that shit i type a text but then i never mind that shit i got these feelings but you never mind that shit oh oh keep it on the low youre still in love with me but your friends dont know if you wanted me you would just say so and if i were you i would never let me go i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her i dont mean no harm i just miss you on my arm wedding bells were just alarms caution tape around my heart you ever wonder what we could have been you said you wouldnt and you fucking did lie to me lie with me get your fucking fix now all my drinks and all my feelings are all fucking mixed always missing people that i shouldnt be missing sometimes you gotta burn some bridges just to create some distance i know that i control my thoughts and i should stop reminiscing but i learned from my dad that its good to have feelings when love and trust are gone i guess this is moving on everyone i do right does me wrong so every lonely night i sing this song i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her all alone i watch you watch her like shes the only girl youve ever seen you dont care you never did you dont give a damn about me yeah all alone i watch you watch her she is the only thing youve ever seen how is it you never notice that you are slowly killing me i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her
187,Yellow Claw,Shotgun - Quintino Remix,0,edm,if im stressing you out why dont you go youre wasting your time with your lies so youve been breaking me down now its enough cause you would do it again and again ohh i hope that youll be gone soon i cant take no more oh no i will never fall for your lies again oh woah i will never fall for your lies again oh woah oh you shot me right in the face with a shotgun you shot me right in the face with a shotgun you shot me right in the you shot me right in the you shot me right in the face with a shotgun yellow motherfucking claw who do they want telling all these stories im telling you its really getting boring who do they want sharing all these love seats im the real deal baby girl believe me if im letting you down im letting you out im wiping your dirt off my soul youre talking a lot but youre pissing me off what you try to say doesnt matter no more i hope that youll be gone soon i cant take no more no i will never fall for your lies again oh woah i will never fall for your lies again oh woah oh you shot me right in the face with a shotgun you shot me right in the face with a shotgun you shot me right in the you shot me right in the you shot me right in the face with a shotgun face with a shotgun face with a shotgun if im stressing you out why dont you go youre wasting your time with your lies so youve been breaking me down now its enough cause you would do it again and again ohh i hope that youll be gone soon i cant take no more oh no i will never fall for your lies again oh woah i will never fall for your lies again oh woah oh you shot me right in the face with a shotgun you shot me right in the face with a shotgun you shot me right in the you shot me right in the you shot me right in the face with a shotgun yellow motherfucking claw who do they want telling all these stories im telling you its really getting boring who do they want sharing all these love seats im the real deal baby girl believe me if im letting you down im letting you out im wiping your dirt off my soul youre talking a lot but youre pissing me off what you try to say doesnt matter no more i hope that youll be gone soon i cant take no more no i will never fall for your lies again oh woah i will never fall for your lies again oh woah oh you shot me right in the face with a shotgun you shot me right in the face with a shotgun you shot me right in the you shot me right in the you shot me right in the face with a shotgun face with a shotgun face with a shotgun
190,Party Favor,Booty Loose (feat. Fly Boi Keno),0,edm,bend and make your booty loose that booty loose bend and make your booty loose that booty loose bend and make your booty loose that booty loose bend and make your booty loose that booty loose bend and make your booty loose show me what this booty do show me what this booty do get loose with it get loose with it youre too smooth with it youre to smooth with it get loose with it get loose with it youre too smooth with it youre too smooth with it bend and make your booty loose that booty loose bend and make your booty loose that booty loose bend and make your booty loose that booty loose bend and make your booty loose that booty loose get loose with it get loose loose  with it with it get loose with it get looseloose with it with it get loose with it get looseloose with itwith it get loose with it show me what this booty do get loose with it get loose with it youre too smooth with it youre too smooth with it get loose with it get loose with it youre too smooth with it youre too smooth with it get loose with it get loose with it youre too smooth with it youre too smooth with it get loose with it get loose with it youre too smooth with it youre too smooth with it
200,GASHI,Safety (feat. DJ Snake) - Dark Heart Burn Mix,0,edm,oh oh no no oh sometimes dont wanna fall in love cause im sick of lies sick of lies when you not around all i got is tears in my eyes in my eyes mama praying saying boy that youll be fine youre the first and the last thing thats always on my mind i need you to come over and save me now tell em all that you love me now please dont you ever put me down make me put this gun down now i need you to come over and save me i need you to put this gun on safety i hate that you just said you hate me i need you come over and save me right now broke my heart into pieces never thought you would leave me girl your mind like the seasons switching up for no reason never thought you would leave me its so hard to redeem it girl you got me spinning around and around i need you to come over and save me now tell em all that you love me now please dont you ever put me down make me put this gun down now i need you to come over and save me i need you to put this gun on safety i hate that you just said you hate me i need you come over and save me right now i need you to come over and save me i need you to put this gun on safety i hate that you just said you hate me i need you come over and save me right now oh no no oh
